,Unnamed: 0,Unnamed: 0.1,tourney_name,surface,tourney_level,tourney_date,fed_age,opp_name,opp_hand,opp_ht,opp_ioc,opp_age,score,best_of,round,minutes,fed_rank,fed_rank_points,opp_rank,opp_rank_points,fed_won,consecutive
13,13,26763,Roland Garros,Clay,G,19990524,17.7905544148,Patrick Rafter,R,185.0,AUS,26.4010951403,5-7 6-3 6-0 6-2,5,R128,133.0,111.0,424.0,3.0,3298.0,0,0
14,14,26912,Queen's Club,Grass,A,19990607,17.8288843258,Byron Black,R,175.0,ZIM,29.6673511294,6-3 6-0,3,R64,52.0,104.0,457.0,37.0,1056.0,0,0
15,15,27069,Wimbledon,Grass,G,19990621,17.867214236800002,Jiri Novak,R,190.0,CZE,24.249144421599997,6-3 3-6 4-6 6-3 6-4,5,R128,138.0,103.0,457.0,59.0,779.0,0,0
16,16,27182,Gstaad,Clay,A,19990705,17.9055441478,Younes El Aynaoui,R,193.0,MAR,27.811088295700003,6-2 6-3,3,R32,57.0,107.0,457.0,33.0,1130.0,0,0
17,17,27638,Washington,Hard,A,19990816,18.0205338809,Bjorn Phau,R,175.0,GER,19.8658453114,6-2 6-3,3,R64,68.0,104.0,466.0,407.0,82.0,0,0
18,18,27925,Tashkent,Hard,A,19990913,18.0971937029,Cedric Pioline,R,188.0,FRA,30.2450376454,6-4 6-3,3,R32,53.0,104.0,468.0,16.0,1851.0,1,0
19,19,27937,Tashkent,Hard,A,19990913,18.0971937029,Peter Wessels,R,196.0,NED,21.3524982888,4-6 7-6(1) 6-4,3,R16,100.0,104.0,468.0,92.0,513.0,0,0
20,20,27980,Toulouse,Hard,A,19990927,18.135523614,Rainer Schuettler,R,180.0,GER,23.4223134839,7-6(4) 6-1,3,R32,74.0,96.0,510.0,46.0,898.0,1,0
21,21,27995,Toulouse,Hard,A,19990927,18.135523614,Fabrice Santoro,R,178.0,FRA,26.7980835044,6-3 7-6(3),3,R16,80.0,96.0,510.0,39.0,1031.0,0,0
22,22,28018,Basel,Carpet,A,19991004,18.1546885695,Martin Damm Sr,R,188.0,CZE,27.1731690623,6-2 3-6 6-4,3,R32,96.0,106.0,472.0,105.0,473.0,1,0
23,23,28027,Basel,Carpet,A,19991004,18.1546885695,Tim Henman,R,185.0,GBR,25.0759753593,6-3 7-5,3,QF,84.0,106.0,472.0,6.0,2300.0,0,0
24,24,28139,Vienna,Hard,A,19991011,18.173853525,Vincent Spadea,R,183.0,USA,25.2292950034,6-4 6-2,3,R32,59.0,93.0,525.0,21.0,1502.0,1,0
25,25,28147,Vienna,Hard,A,19991011,18.173853525,Jiri Novak,R,190.0,CZE,24.5557837098,7-6(8) 6-1,3,R16,71.0,93.0,525.0,34.0,1103.0,1,1
26,26,28151,Vienna,Hard,A,19991011,18.173853525,Karol Kucera,R,188.0,SVK,25.6043805613,2-6 6-4 6-1,3,QF,89.0,93.0,525.0,15.0,1819.0,1,2
27,27,28153,Vienna,Hard,A,19991011,18.173853525,Greg Rusedski,L,193.0,GBR,26.0944558522,6-3 6-4,3,SF,62.0,93.0,525.0,7.0,2278.0,0,0
28,28,28160,Lyon,Carpet,A,19991018,18.1930184805,Daniel Vacek,R,190.0,CZE,28.5475701574,6-3 6-4,3,R64,70.0,67.0,683.0,53.0,837.0,1,0
29,29,28176,Lyon,Carpet,A,19991018,18.1930184805,Lleyton Hewitt,R,180.0,AUS,18.6447638604,7-6(4) 2-6 6-4,3,R32,131.0,67.0,683.0,27.0,1259.0,0,0
30,30,28372,Auckland,Hard,A,20000110,18.422997946600002,Juan Carlos Ferrero,R,183.0,ESP,19.909650924,6-4 6-4,3,R32,68.0,61.0,616.0,45.0,768.0,0,0
31,31,28403,St. Poelten,Clay,A,20000522,18.787132101300003,Markus Hantschk,R,188.0,GER,22.5051334702,6-2 6-1,3,R32,54.0,54.0,735.0,94.0,428.0,0,0
32,32,28516,Gstaad,Clay,A,20000710,18.9212867899,Alex Corretja,R,180.0,ESP,26.2477754962,6-4 4-6 6-4,3,R32,137.0,39.0,911.0,10.0,1860.0,0,0
33,33,28778,Basel,Carpet,A,20001023,19.2087611225,Tommy Haas,R,188.0,GER,22.5571526352,6-3 6-3,3,R32,70.0,34.0,1018.0,20.0,1216.0,1,0
34,34,28793,Basel,Carpet,A,20001023,19.2087611225,Andrei Pavel,R,183.0,ROU,26.7378507871,7-6(4) 6-4,3,R16,77.0,34.0,1018.0,27.0,1097.0,1,1
35,35,28801,Basel,Carpet,A,20001023,19.2087611225,Nicolas Thomann,R,183.0,FRA,27.898699520900003,6-4 6-4,3,QF,78.0,34.0,1018.0,185.0,209.0,1,2
36,36,28805,Basel,Carpet,A,20001023,19.2087611225,Lleyton Hewitt,R,180.0,AUS,19.6605065024,6-4 5-7 7-6(6),3,SF,151.0,34.0,1018.0,9.0,2262.0,1,3
37,37,28807,Basel,Carpet,A,20001023,19.2087611225,Thomas Enqvist,R,190.0,SWE,26.614647501700002,6-2 4-6 7-6(4) 1-6 6-1,5,F,176.0,34.0,1018.0,6.0,2693.0,0,0
38,38,28904,Vienna,Hard,A,20001009,19.170431211500002,Magnus Norman,R,188.0,SWE,24.361396303899998,4-6 7-6(4) 6-4,3,R32,147.0,31.0,1036.0,4.0,3098.0,1,0
39,39,28911,Vienna,Hard,A,20001009,19.170431211500002,Max Mirnyi,R,196.0,BLR,23.2607802875,6-3 6-3,3,R16,76.0,31.0,1036.0,43.0,845.0,1,1
40,40,28915,Vienna,Hard,A,20001009,19.170431211500002,Richard Krajicek,R,196.0,NED,28.8432580424,6-4 6-3,3,QF,74.0,31.0,1036.0,20.0,1222.0,1,2
41,41,28917,Vienna,Hard,A,20001009,19.170431211500002,Tim Henman,R,185.0,GBR,26.0917180014,2-6 7-6(4) 6-3,3,SF,129.0,31.0,1036.0,10.0,1722.0,0,0
42,42,28951,Adelaide,Hard,A,20000103,18.3846680356,Jens Knippschild,R,190.0,GER,24.8624229979,6-1 6-4,3,R32,45.0,64.0,749.0,91.0,525.0,1,0
43,43,28966,Adelaide,Hard,A,20000103,18.3846680356,Thomas Enqvist,R,190.0,SWE,25.7905544148,7-6(5) 6-4,3,R16,84.0,64.0,749.0,4.0,2606.0,0,0
44,44,28986,Paris Masters,Carpet,M,20001113,19.266255989,Dominik Hrbaty,R,183.0,SVK,22.8583162218,4-6 6-2 6-2,3,R64,87.0,24.0,1135.0,19.0,1290.0,0,0
45,45,29035,Stuttgart Masters,Hard,M,20001030,19.227926078,Jan Michael Gambill,R,190.0,USA,23.40862423,7-6(3) 1-0 RET,3,R64,47.0,25.0,1115.0,27.0,1084.0,1,0
46,46,29050,Stuttgart Masters,Hard,M,20001030,19.227926078,Yevgeny Kafelnikov,R,190.0,RUS,26.696783025300004,7-5 6-3,3,R32,73.0,25.0,1115.0,5.0,2841.0,0,0
47,47,29148,Lyon,Carpet,A,20001106,19.2470910335,Nicolas Escude,R,185.0,FRA,24.594113620799998,6-3 7-6(3),3,R32,86.0,24.0,1135.0,38.0,906.0,1,0
48,48,29157,Lyon,Carpet,A,20001106,19.2470910335,Karol Kucera,R,188.0,SVK,26.6776180698,3-6 6-2 6-1,3,R16,92.0,24.0,1135.0,74.0,540.0,0,0
49,49,29217,Miami Masters,Hard,M,20000320,18.614647501700002,Justin Gimelstob,R,196.0,USA,23.1457905544,7-5 6-3,3,R128,73.0,53.0,753.0,99.0,422.0,1,0
50,50,29249,Miami Masters,Hard,M,20000320,18.614647501700002,Mariano Zabaleta,R,183.0,ARG,22.056125941100007,6-4 7-6(7),3,R64,87.0,53.0,753.0,25.0,1103.0,0,0
51,51,29414,London,Hard,A,20000221,18.5379876797,Nicolas Kiefer,R,183.0,GER,22.6310746064,6-2 6-3,3,R32,62.0,66.0,625.0,4.0,2435.0,1,0
52,52,29422,London,Hard,A,20000221,18.5379876797,Goran Ivanisevic,L,193.0,CRO,28.4407939767,7-5 6-3,3,R16,65.0,66.0,625.0,61.0,652.0,1,1
53,53,29426,London,Hard,A,20000221,18.5379876797,Marc Rosset,R,201.0,SUI,29.2895277207,3-6 6-4 6-4,3,QF,112.0,66.0,625.0,72.0,555.0,0,0
54,54,29486,Monte Carlo Masters,Clay,M,20000417,18.6913073238,Jiri Novak,R,190.0,CZE,25.073237508600002,6-1 2-6 7-5,3,R64,106.0,49.0,767.0,37.0,862.0,0,0
55,55,29526,Hamburg Masters,Clay,M,20000515,18.7679671458,Andrei Pavel,R,183.0,ROU,26.2970568104,6-4 6-3,3,R64,61.0,50.0,735.0,70.0,578.0,0,0
56,56,29607,Rome Masters,Clay,M,20000508,18.7488021903,Andrei Medvedev,R,193.0,UKR,25.6865160849,3-6 6-3 7-5,3,R64,118.0,51.0,732.0,25.0,1051.0,0,0
57,57,29725,Indianapolis,Hard,A,20000814,19.0171115674,James Sekulov,R,180.0,AUS,23.835728952800004,6-4 7-5,3,R64,82.0,40.0,892.0,191.0,193.0,0,0
58,58,29764,Canada Masters,Hard,M,20000731,18.978781656400002,Lleyton Hewitt,R,180.0,AUS,19.430527036300003,3-6 6-3 6-2,3,R64,119.0,38.0,911.0,10.0,1945.0,0,0
59,59,29845,Cincinnati Masters,Hard,M,20000807,18.9979466119,Francisco Clavet,L,183.0,ESP,31.786447638600002,7-6(3) 7-6(4),3,R64,100.0,39.0,902.0,43.0,829.0,0,0
60,60,29964,Barcelona,Clay,A,20000424,18.7104722793,Sergi Bruguera,R,188.0,ESP,29.2703627652,6-1 6-1,3,R64,53.0,51.0,771.0,249.0,128.0,0,0
61,61,30011,Stockholm,Hard,A,20001120,19.285420944600002,Mikhail Youzhny,R,183.0,RUS,18.4065708419,5-7 6-4 6-3,3,R32,111.0,29.0,1080.0,110.0,359.0,1,0
62,62,30020,Stockholm,Hard,A,20001120,19.285420944600002,Andreas Vinciguerra,L,180.0,SWE,19.7508555784,7-5 7-6(3),3,R16,84.0,29.0,1080.0,55.0,730.0,0,0
63,63,30297,Copenhagen,Hard,A,20000228,18.5571526352,Filip Dewulf,R,190.0,BEL,27.956194387399997,6-4 4-6 6-3,3,R32,98.0,58.0,684.0,234.0,144.0,1,0
64,64,30307,Copenhagen,Hard,A,20000228,18.5571526352,Fredrik Jonsson,R,193.0,SWE,22.921286789899998,6-4 6-4,3,R16,71.0,58.0,684.0,121.0,324.0,1,1
65,65,30312,Copenhagen,Hard,A,20000228,18.5571526352,Gianluca Pozzi,L,180.0,ITA,34.6995208761,4-6 6-1 6-3,3,QF,105.0,58.0,684.0,83.0,477.0,1,2
66,66,30314,Copenhagen,Hard,A,20000228,18.5571526352,Magnus Larsson,R,193.0,SWE,29.930184804899998,6-3 7-6(6),3,SF,82.0,58.0,684.0,48.0,768.0,0,0
67,67,30349,Marseille,Hard,A,20000207,18.4996577687,Antony Dupuis,R,185.0,FRA,26.9514031485,6-4 6-4,3,R32,72.0,67.0,582.0,93.0,429.0,1,0
68,68,30364,Marseille,Hard,A,20000207,18.4996577687,Thomas Johansson,R,180.0,SWE,24.8761122519,6-3 6-2,3,R16,63.0,67.0,582.0,41.0,833.0,1,1
69,69,30371,Marseille,Hard,A,20000207,18.4996577687,Ivan Ljubicic,R,193.0,CRO,20.889801505799998,6-2 3-6 7-6(5),3,QF,127.0,67.0,582.0,69.0,561.0,1,2
70,70,30375,Marseille,Hard,A,20000207,18.4996577687,Fabrice Santoro,R,178.0,FRA,27.162217659099998,7-6(4) 7-5,3,SF,94.0,67.0,582.0,38.0,908.0,1,3
71,71,30377,Marseille,Hard,A,20000207,18.4996577687,Marc Rosset,R,201.0,SUI,29.2511978097,2-6 6-3 7-6(5),3,F,118.0,67.0,582.0,77.0,524.0,0,0
72,72,30419,Halle,Grass,A,20000612,18.8446269678,Arnaud Clement,R,173.0,FRA,22.485968514699998,6-4 6-2,3,R32,69.0,38.0,859.0,57.0,674.0,1,0
73,73,30430,Halle,Grass,A,20000612,18.8446269678,Magnus Larsson,R,193.0,SWE,30.217659137600002,6-2 6-3,3,R16,42.0,38.0,859.0,49.0,759.0,1,1
74,74,30435,Halle,Grass,A,20000612,18.8446269678,Michael Chang,R,175.0,USA,28.303901437399997,7-5 6-2,3,QF,71.0,38.0,859.0,28.0,978.0,0,0
75,75,30520,Roland Garros,Clay,G,20000529,18.806297056800002,Wayne Arthurs,L,190.0,AUS,29.1991786448,7-6(4) 6-3 1-6 6-3,5,R128,147.0,54.0,735.0,106.0,386.0,1,0
76,76,30559,Roland Garros,Clay,G,20000529,18.806297056800002,Jan Michael Gambill,R,190.0,USA,22.9869952088,7-6(5) 6-3 6-3,5,R64,132.0,54.0,735.0,69.0,626.0,1,1
77,77,30579,Roland Garros,Clay,G,20000529,18.806297056800002,Michel Kratochvil,R,185.0,SUI,21.144421629,7-6(5) 6-4 2-6 6-7(4) 8-6,5,R32,265.0,54.0,735.0,120.0,335.0,1,2
78,78,30589,Roland Garros,Clay,G,20000529,18.806297056800002,Alex Corretja,R,180.0,ESP,26.1327857632,7-5 7-6(7) 6-2,5,R16,156.0,54.0,735.0,10.0,1776.0,0,0
79,79,30630,Wimbledon,Grass,G,20000626,18.8829568789,Yevgeny Kafelnikov,R,190.0,RUS,26.35181382610001,7-5 7-5 7-6(6),5,R128,128.0,35.0,914.0,5.0,3016.0,0,0
80,80,30762,US Open,Hard,G,20000828,19.0554414784,Peter Wessels,R,196.0,NED,22.310746064299998,4-6 4-6 6-3 7-5 3-4 RET,5,R128,152.0,40.0,892.0,89.0,467.0,1,0
81,81,30807,US Open,Hard,G,20000828,19.0554414784,Daniel Nestor,L,190.0,CAN,27.980835044499997,6-1 7-6(5) 6-1,5,R64,92.0,40.0,892.0,307.0,99.0,1,1
82,82,30830,US Open,Hard,G,20000828,19.0554414784,Juan Carlos Ferrero,R,183.0,ESP,20.5420944559,7-5 7-6(6) 1-6 7-6(6),5,R32,173.0,40.0,892.0,12.0,1619.0,0,0
83,83,30965,Australian Open,Hard,G,20000117,18.4421629021,Michael Chang,R,175.0,USA,27.901437371700002,6-4 6-4 7-6(5),5,R128,125.0,62.0,620.0,38.0,841.0,1,0
84,84,31003,Australian Open,Hard,G,20000117,18.4421629021,Jan Kroslak,R,188.0,SVK,25.2511978097,7-6(1) 6-2 6-3,5,R64,106.0,62.0,620.0,104.0,372.0,1,1
85,85,31022,Australian Open,Hard,G,20000117,18.4421629021,Arnaud Clement,R,173.0,FRA,22.083504449,6-1 6-4 6-3,5,R32,101.0,62.0,620.0,54.0,694.0,0,0
86,86,31171,Nottingham,Grass,A,20000619,18.8637919233,Richard Fromberg,R,196.0,AUS,30.14373716630001,7-5 6-1,3,R32,67.0,35.0,914.0,71.0,577.0,0,0
87,87,31465,Gstaad,Clay,A,20010709,19.917864476400002,Ivan Ljubicic,R,193.0,CRO,22.3080082136,6-2 6-1,3,R32,50.0,14.0,1825.0,70.0,593.0,0,0
88,88,31711,Basel,Carpet,A,20011022,20.205338809,Albert Costa,R,180.0,ESP,26.3271731691,6-3 6-3,3,R32,62.0,13.0,1745.0,34.0,1020.0,1,0
89,89,31725,Basel,Carpet,A,20011022,20.205338809,Xavier Malisse,R,185.0,BEL,21.2594113621,6-3 6-4,3,R16,63.0,13.0,1745.0,39.0,982.0,1,1
90,90,31732,Basel,Carpet,A,20011022,20.205338809,Andy Roddick,R,188.0,USA,19.1457905544,3-6 6-3 7-6(5),3,QF,101.0,13.0,1745.0,16.0,1610.0,1,2
91,91,31735,Basel,Carpet,A,20011022,20.205338809,Julien Boutter,R,190.0,FRA,27.548254620100003,7-6(3) 6-4,3,SF,90.0,13.0,1745.0,64.0,610.0,1,3
92,92,31737,Basel,Carpet,A,20011022,20.205338809,Tim Henman,R,185.0,GBR,27.1266255989,6-3 6-4 6-2,5,F,115.0,13.0,1745.0,11.0,2075.0,0,0
93,93,31835,Vienna,Hard,A,20011008,20.167008898,Nicolas Massu,R,183.0,CHI,21.9958932238,4-6 7-6(8) 6-4,3,R32,162.0,12.0,1810.0,78.0,530.0,1,0
94,94,31844,Vienna,Hard,A,20011008,20.167008898,Albert Costa,R,180.0,ESP,26.288843258000004,7-6(1) 6-2,3,R16,87.0,12.0,1810.0,33.0,1010.0,1,1
95,95,31849,Vienna,Hard,A,20011008,20.167008898,Stefan Koubek,L,175.0,AUT,24.7638603696,7-6(3) 7-5,3,QF,97.0,12.0,1810.0,90.0,478.0,0,0
96,96,31865,Sydney,Hard,A,20010108,19.4195756331,Wayne Ferreira,R,185.0,RSA,29.3169062286,6-3 6-4,3,R32,58.0,30.0,1080.0,13.0,1770.0,1,0
97,97,31875,Sydney,Hard,A,20010108,19.4195756331,Marc Rosset,R,201.0,SUI,30.1711156742,6-1 6-2,3,R16,45.0,30.0,1080.0,29.0,1090.0,1,1
98,98,31880,Sydney,Hard,A,20010108,19.4195756331,Sebastien Grosjean,R,175.0,FRA,22.614647501700002,7-5 6-4,3,QF,87.0,30.0,1080.0,19.0,1325.0,0,0
99,99,31938,Paris Masters,Carpet,M,20011029,20.2245037645,Jiri Novak,R,190.0,CZE,26.606433949299998,6-4 6-7(4) 7-6(2),3,R32,118.0,13.0,1745.0,40.0,971.0,0,0
100,100,31988,Stuttgart Masters,Hard,M,20011015,20.186173853499998,Wayne Ferreira,R,185.0,RSA,30.083504449,7-6(1) 3-6 6-2,3,R32,105.0,12.0,1775.0,36.0,995.0,0,0
101,101,32183,Miami Masters,Hard,M,20010319,19.6112251882,Younes El Aynaoui,R,193.0,MAR,29.5167693361,6-2 6-2,3,R64,56.0,24.0,1180.0,58.0,695.0,1,0
102,102,32213,Miami Masters,Hard,M,20010319,19.6112251882,Mark Philippoussis,R,196.0,AUS,24.361396303899998,3-6 7-6(4) 6-2,3,R32,112.0,24.0,1180.0,16.0,1565.0,1,1
103,103,32228,Miami Masters,Hard,M,20010319,19.6112251882,Thomas Johansson,R,180.0,SWE,25.9876796715,7-6(3) 5-7 7-6(7),3,R16,146.0,24.0,1180.0,25.0,1140.0,1,2
104,104,32235,Miami Masters,Hard,M,20010319,19.6112251882,Patrick Rafter,R,185.0,AUS,28.221765913800002,6-3 6-1,3,QF,56.0,24.0,1180.0,8.0,2075.0,0,0
105,105,32263,Indian Wells Masters,Hard,M,20010312,19.5920602327,Nicolas Kiefer,R,183.0,GER,23.685147159499998,3-6 7-5 6-1,3,R64,117.0,21.0,1250.0,43.0,810.0,0,0
106,106,32314,Rotterdam,Hard,A,20010219,19.5345653662,Andrew Ilie,R,180.0,AUS,24.8405201916,7-6(5) 6-1,3,R32,71.0,23.0,1150.0,42.0,860.0,1,0
107,107,32325,Rotterdam,Hard,A,20010219,19.5345653662,Sebastien Grosjean,R,175.0,FRA,22.7296372348,4-6 6-3 6-4,3,R16,113.0,23.0,1150.0,13.0,1760.0,1,1
108,108,32331,Rotterdam,Hard,A,20010219,19.5345653662,Alex Corretja,R,180.0,ESP,26.8610540726,6-4 6-2,3,QF,73.0,23.0,1150.0,8.0,2415.0,1,2
109,109,32334,Rotterdam,Hard,A,20010219,19.5345653662,Andrei Pavel,R,183.0,ROU,27.0636550308,6-7(4) 6-4 6-0,3,SF,110.0,23.0,1150.0,24.0,1130.0,1,3
110,110,32335,Rotterdam,Hard,A,20010219,19.5345653662,Nicolas Escude,R,185.0,FRA,24.8815879535,7-5 3-6 7-6(5),3,F,143.0,23.0,1150.0,60.0,725.0,0,0
111,111,32344,Milan,Carpet,A,20010129,19.4770704997,Rainer Schuettler,R,180.0,GER,24.7638603696,6-3 6-4,3,R32,61.0,27.0,1080.0,48.0,815.0,1,0
112,112,32356,Milan,Carpet,A,20010129,19.4770704997,Cyril Saulnier,R,190.0,FRA,25.4565366188,2-6 6-3 6-4,3,R16,106.0,27.0,1080.0,120.0,326.0,1,1
113,113,32361,Milan,Carpet,A,20010129,19.4770704997,Goran Ivanisevic,L,193.0,CRO,29.3798767967,6-4 6-4,3,QF,57.0,27.0,1080.0,123.0,319.0,1,2
114,114,32364,Milan,Carpet,A,20010129,19.4770704997,Yevgeny Kafelnikov,R,190.0,RUS,26.945927447,6-2 6-7(4) 6-3,3,SF,110.0,27.0,1080.0,7.0,2485.0,1,3
115,115,32365,Milan,Carpet,A,20010129,19.4770704997,Julien Boutter,R,190.0,FRA,26.819986310700003,6-4 6-7(7) 6-4,3,F,140.0,27.0,1080.0,67.0,609.0,1,4
116,116,32400,Monte Carlo Masters,Clay,M,20010416,19.6878850103,Michael Chang,R,175.0,USA,29.1471594798,6-4 6-3,3,R64,85.0,22.0,1290.0,33.0,930.0,1,5
117,117,32430,Monte Carlo Masters,Clay,M,20010416,19.6878850103,Davide Sanguinetti,R,188.0,ITA,28.6406570842,7-6(5) 7-6(0),3,R32,104.0,22.0,1290.0,55.0,714.0,1,6
118,118,32444,Monte Carlo Masters,Clay,M,20010416,19.6878850103,Arnaud Di Pasquale,R,185.0,FRA,22.176591375799998,6-1 6-2,3,R16,61.0,22.0,1290.0,67.0,615.0,1,7
119,119,32452,Monte Carlo Masters,Clay,M,20010416,19.6878850103,Sebastien Grosjean,R,175.0,FRA,22.8829568789,6-4 6-3,3,QF,73.0,22.0,1290.0,15.0,1700.0,0,0
120,120,32487,Hamburg Masters,Clay,M,20010514,19.7645448323,Franco Squillari,L,183.0,ARG,25.7275838467,6-3 6-4,3,R64,65.0,18.0,1480.0,19.0,1373.0,0,0
121,121,32552,Rome Masters,Clay,M,20010507,19.7453798768,Thomas Johansson,R,180.0,SWE,26.12183436,7-6(3) 4-6 7-6(5),3,R64,144.0,18.0,1410.0,24.0,1210.0,1,0
122,122,32569,Rome Masters,Clay,M,20010507,19.7453798768,Marat Safin,R,193.0,RUS,21.2758384668,4-6 6-4 7-6(5),3,R32,162.0,18.0,1410.0,2.0,4080.0,1,1
123,123,32577,Rome Masters,Clay,M,20010507,19.7453798768,Wayne Ferreira,R,185.0,RSA,29.6427104723,7-6(4) 6-2,3,R16,83.0,18.0,1410.0,19.0,1390.0,0,0
124,124,33008,Moscow,Carpet,A,20011001,20.1478439425,Nicolas Kiefer,R,183.0,GER,24.240930869299998,6-3 1-6 7-6(4),3,R32,116.0,12.0,1810.0,39.0,910.0,0,0
125,125,33063,s Hertogenbosch,Grass,A,20010618,19.8603696099,Antony Dupuis,R,185.0,FRA,28.3121149897,7-6(3) 6-4,3,R32,71.0,15.0,1580.0,68.0,611.0,1,0
126,126,33076,s Hertogenbosch,Grass,A,20010618,19.8603696099,John Van Lottum,R,185.0,NED,25.1882272416,6-0 6-1,3,R16,43.0,15.0,1580.0,193.0,198.0,1,1
127,127,33082,s Hertogenbosch,Grass,A,20010618,19.8603696099,Raemon Sluiter,R,185.0,NED,23.1813826146,6-7(4) 6-4 6-4,3,QF,110.0,15.0,1580.0,107.0,400.0,1,2
128,128,33085,s Hertogenbosch,Grass,A,20010618,19.8603696099,Lleyton Hewitt,R,180.0,AUS,20.3121149897,6-4 6-2,3,SF,75.0,15.0,1580.0,6.0,2715.0,0,0
129,129,33282,Marseille,Hard,A,20010212,19.5154004107,Cyril Saulnier,R,190.0,FRA,25.4948665298,7-6(7) 6-4,3,R32,89.0,23.0,1135.0,114.0,341.0,1,0
130,130,33294,Marseille,Hard,A,20010212,19.5154004107,Bob Bryan,L,193.0,USA,22.7926078029,7-6(1) 6-3,3,R16,66.0,23.0,1135.0,146.0,273.0,1,1
131,131,33300,Marseille,Hard,A,20010212,19.5154004107,Michel Kratochvil,R,185.0,SUI,21.853524982899998,6-4 7-6(4),3,QF,88.0,23.0,1135.0,78.0,511.0,1,2
132,132,33303,Marseille,Hard,A,20010212,19.5154004107,Yevgeny Kafelnikov,R,190.0,RUS,26.984257358,6-7(4) 6-4 6-4,3,SF,126.0,23.0,1135.0,7.0,2485.0,0,0
133,133,33347,Halle,Grass,A,20010611,19.8412046543,Albert Portas,R,188.0,ESP,27.570157426399998,6-7(4) 6-4 6-2,3,R32,104.0,14.0,1580.0,23.0,1220.0,1,0
134,134,33357,Halle,Grass,A,20010611,19.8412046543,David Prinosil,R,185.0,GER,28.257357974,7-6(8) 7-5,3,R16,78.0,14.0,1580.0,28.0,1040.0,1,1
135,135,33362,Halle,Grass,A,20010611,19.8412046543,Patrick Rafter,R,185.0,AUS,28.451745379899997,4-6 7-6(6) 7-6(4),3,QF,125.0,14.0,1580.0,10.0,2185.0,0,0
136,136,33480,Roland Garros,Clay,G,20010528,19.8028747433,Stefano Galvani,R,178.0,ITA,23.983572895300004,6-3 6-3 6-3,5,R128,104.0,18.0,1480.0,239.0,147.0,1,0
137,137,33518,Roland Garros,Clay,G,20010528,19.8028747433,Sargis Sargsian,R,180.0,ARM,27.983572895300004,4-6 3-6 6-2 6-4 9-7,5,R64,197.0,18.0,1480.0,115.0,361.0,1,1
138,138,33537,Roland Garros,Clay,G,20010528,19.8028747433,David Sanchez,R,183.0,ESP,23.104722792600004,6-4 6-3 1-6 6-3,5,R32,139.0,18.0,1480.0,89.0,482.0,1,2
